filiere,puismaxinstallee
Solaire,180.0
Solaire,213.02
Solaire,86.37
Solaire,40.3
Solaire,193.2
Solaire,43.0
Solaire,91.14
Solaire,82.8
Solaire,63.91
Solaire,82.8
Solaire,82.8
Solaire,124.67
Solaire,173.08
Autre,166.0
Solaire,82.8
Solaire,54.88
Solaire,83.4
Solaire,103.1
Solaire,157.59
Solaire,64.1
Solaire,59.94
Hydraulique,27000.0
Solaire,59.3
Solaire,50.0
Solaire,51.53
Solaire,46.0
Solaire,47.5
Solaire,55.96
Solaire,63.77
Solaire,103.75
Solaire,88.58
Solaire,67.0
Solaire,183.79
Solaire,89.0
Solaire,61.68
Solaire,82.8
Solaire,43.94
Solaire,111.17
Solaire,131.19
Solaire,60.14
Solaire,113.76
Solaire,86.0
Solaire,60.1
Solaire,90.0
Solaire,129.05
Solaire,100.0
Solaire,82.8
Solaire,181.63
Solaire,48.38
Solaire,90.0
Solaire,163.28
Solaire,144.0
Solaire,105.0
Solaire,44.0
Solaire,89.94
Solaire,119.12
Solaire,96.0
Solaire,102.25
Solaire,85.47
Hydraulique,3059.0
Bioénergies,50.0
Solaire,149.82
Solaire,90.0
Solaire,107.51
Solaire,87.08
Solaire,3675.0
Solaire,338.0
Solaire,215.63
Solaire,63.55
Solaire,42.7
Solaire,49.2
Solaire,57.74
Solaire,94.0
Solaire,79.0
Solaire,106.43
Solaire,84.96
Thermique non renouvelable,2704.0
Solaire,100.0
Solaire,42.0
Solaire,62.04
Solaire,100.0
Solaire,90.0
Solaire,3885.0
Solaire,121.26
Solaire,163.95
Solaire,152.94
Solaire,62.91
Solaire,189.58
Solaire,80.0
Solaire,140.31
Solaire,48.93
Solaire,74.4
Solaire,37.7
Solaire,71.5
Solaire,42.82
Solaire,243.98
Hydraulique,32000.0
Solaire,83.9
Hydraulique,1491.0
Hydraulique,1800.0
Solaire,121.22
Hydraulique,270.0
Solaire,32.85
Solaire,33.36
Solaire,104.69
Solaire,43.43
Solaire,291.65
Solaire,95.41
Solaire,54.73
Solaire,82.8
Solaire,50.48
